id_soal,soal,jawaban,jawaban_benar,materi,jumlah_dikerjakan,jumlah_benar,kategori_soal
pm14,"Pada seorang penderita luka serius,
terdapat bakteri parasit yang mengganggu
penyembuhan. Tim dokter yang
menanganinya melakukan pengamatan
jumlah bakteri saat pertama kali pasien

tiba di ruang pengamatan. Terdapat
sekitar 6250 bakteri pada awal
pengamatan (pukul 09:00). Dalam rangka
upaya mengurangi jumlah bakteri, tim
dokter memberikan obat tetes pembunuh
bakteri. Obat tersebut ampuh mengurangi
20% bakteri setiap 3 jam – nya. Jika
pemberian obat tetes terus dilakukan
hingga pukul 21:00. Maka perkiraan
bakteri yang tersisa berjumlah....","(A) 100 bakteri
(B) 2048 bakteri
(C) 2560 bakteri
(D) 3200 bakteri
(E) 3680 bakteri",(C) 2560 bakteri,barisan dan deret,161,120,mudah
pm15,"Rata – rata skor 8 pemain basket adalah14,5 poin. Jika skor individual yang palingbesar dihilangkan, maka rata – rataskornya menjadi 12 poin. Maka skortertinggi dari pemain yang sempat dihilangkan adalah?","(A) 20
(B) 24
(C) 32
(D) 36
(E) 40
",(C) 32,Statistika,218,164,mudah
pm16,"Seorang psikolog sedang
mempersiapkan eksperimen.
Eksperimen tersebut bertujuan
mengamati perilaku kecenderungan
seseorang untuk memilih pilihan
pertama. Dalam percobaannya, jumlah
partisipan sebanyak 300 orang. Mereka
disajikan 5 gambar yang menurut
mereka menarik. Kloter pertama yang
terdiri dari 150 orang, 36 diantaranya
memilih gambar pertama. Kloter kedua
yang terdiri dari 150 orang juga,
sebanyak p orang juga memilih gambar
pertama. Jika lebih dari 20% partisipan
memilih gambar pertama. Manakah
pertidaksamaan dibawah ini yang
menggambarkan kajadian tersebut?","(A) p > 0,20(300 − 36); dimana p ≤
150
(B) p > 0,20(300 + 36); dimana p ≤
150
(C) p − 36 > 0,20(300); dimana p ≤
150
(D) p + 36 > 0,20(300); dimana p ≤
150
(E) Semuanya salah","(C) p − 36 > 0,20(300); dimana p ≤ 150",Pertidaksamaan Kuadrat,405,53,sulit
pm17,"Di kota X, siswa kelas 8 binaan bapak
Sugeng yang terdiri dari 26 orang,
sebanyak 34,6% - nya setidaknya
memiliki 2 saudara kandung. Rata – rata
di kota X memang jumlah siswanya
dalam satu kelas adalah 26 orang. Jika
siswa di kelas bapak Sugeng mewakili
siswa di kelas 8 di seluruh kota, dan
terdapat 1800 kelas 8 di kota X. Manakah
berikut ini perkiraan yang akurat untuk
jumlah siswa kelas 8 di koa X, yang
memiliki saudara kandung kurang dari
dua?","(A) 16200
(B) 23400
(C) 30600
(D) 46800
(E) 51200",(C) 30600,Operasi Bilangan,480,234,sedang
pm18,"Berat objek di planet Venus diperkirakan
9/10 dari beratnya ketika di bumi. Berat
objek di planet Jupiter diperkirakan 23/10
beratnya ketika di bumi. Jika berat objek
di bumi adalah 100 pound. Berapa
lebihnya berat objek di planet Jupiter
daripada di planet Venus?","(A) 90
(B) 140
(C) 111
(D) 230
(E) 250",(B) 140,Perbandingan,431,203,sedang
pm19,"h = −4,9(t)^2 + 25t Persamaan diatas merupakan ekspresi matematika untuk perkiraan ketinggian h (dalam meter). Bola tersebut mengalami perubahan ketinggian terhadap berubahnya waktu t, setelah diluncurkan secara vertikal dengan kecepatan 25 m/s dari tanah. Berapa perkiraan waktu yang dibutuhkan bolauntuk kembali menyentuh tanah?","(A) 3,5 sekon
(B) 4,0 sekon
(C) 4,5 sekon
(D) 5,0 sekon
(E) 7,5 sekon","(D) 5,0 sekon",Fungsi Kuadrat,337,92,sulit
pm20,"Batas berat yang ditetapkan pada
sebuah jembatan yang dilapisi kayu di
daerah Tenggarong adalah 6000 pound.
Sebuah truk ekspedisi membawa
sebanyak x kotak dengan ukuran
identik, masing – masing memiliki berat
14 pound hendak melintasi jembatan
tersebut. Jika berat campuran antara
truk dan pengemudinya adalah 4500
pound. Maka nilai maksimum yang
mungkin dari x agar semua elemen
dalam truk mampu melintasi jembatan
kayu tersebut?","(A) x ≤ 107
(B) x < 107
(C) x ≤ 108
(D) x < 108
(E) x > 107",(A) x ≤ 108,Pertidaksamaan Linear,987,258,sulit
pm21,"Seorang tukang cat akan melakukan pengecatan terhadap n dinding dengan ukuran yang sama. Dinding dicat dengan merk tertentu. Bayaran tukang cat dikalkulasikan melalui ekspresi matematis nKlh, dimana n adalah jumlah dinding, K adalah konstanta dengan satuan rupiah per m kuadrat. l adalah lebar dinding dalam meter, dan h adalah tinggi dinding dalam meter. Jika customer meminta pada tukang cat agar menggunakan jenis cat yang lebih mahal, maka variabel yang akan berubah
adalah?","(A) h
(B) l
(C) K
(D) n
(E) Tidak ada yang berubah",(C) K,Aljabar,248,141,sedang
pm22,"Rata – rata jumlah siswa per kelas di
sekolah Suzuran dari tahun 2000 s.d
2010 dapat dimodelkan dengan
persamaan y = 0,56x + 27,2 , dimana x
mewakili tahun, dan y mewakili rata –
rata jumlah siswa per kelas. Manakah
pernyataan yang benar terkait angka
0,56 pada persamaan?","(A) Jumlah total siswa disekolah pada
tahun 2000
(B) Rata – rata jumlah siswa per kelas
tahun 2000
(C) Perkiraan kenaikan rata – rata
jumlah siswa per kelas tiap tahun
(D) Perkiraan perbedaan antara rata –
rata jumlah siswa per kelas di tahun
2010 dan tahun 2000
(E) Tidak berarti apapun","(C) Perkiraan kenaikan rata – rata
jumlah siswa per kelas tiap tahun",Model Matematika,688,199,sulit
pm23,"Brian berencana menyewa speedboat.
Biaya sewanya per jam adalah $60, dan
juga ia harus membayar kursus
kepelatihan untuk safety selama
menggunakannya. Biaya kursus
kepelatihan safety sebesar $10. Brian
hanya ingin mengeluarkan uang untuk
keduanya tidak lebih dari $280. Jika
speedboat bisa disewa untuk n jam.
Maka nilai maksimum n peminjaman
yang bisa Brian lakukan adalah?","(A) 4 jam
(B) 3 jam
(C) 2 jam
(D) 1 jam
(E) 5 jam",(A) 4 jam,Pertidaksamaan Linear,675,425,sedang
pm24,"Marco mengemudi rata – rata per
minggu sejauh 100 km. Konsumsi bahan
bakar mobilnya adalah 25 km per liter.
Marco ingin mengurangi pengeluaran
untuk bahan bakar menjadi Rp50.000, −
per minggu . Asumsikan harga bahan
bakar adalah Rp15.000, − per liter.
Manakah persamaan dibawah ini yang
bisa digunakan untuk menghitung jarak
tempuh (m) yang lebih rendah per
minggunya?","(A) (25/3)m = 95
(B) (25/3)m = 5
(C) (3/25)m = 95
(D) (3/25)m = 10
(E) (25/3)m = 10",(D) (3/25)m = 10,Perbandingan,520,472,mudah
pm25,"Citra Media Group berencana akan
meningkatkan keanggotaan di beberapa
kota. Peningkatan yang diharapkan
sebesar n per tahun. Sebelumnya Citra
Media Group memiliki sebanyak b
jumlah anggota pada awal tahun berdiri.
Manakah fungsi dibawah ini yang
menyatakan jumlah keseluruhan
keanggotaan y, terhadap jumlah awal x
dihitung dari tahun ini?
","(A) y = nx + b
(B) y = nx − b
(C) y = b(n)^x
(D) y = n(b)^x
(E) y = (1/n)(b)^x",(A) y = nx + b,Fungsi,783,444,sedang
pm26,"h = −4,8(t)^2 + 16t
Persamaan diatas merupakan ekspresi
matematika untuk perkiraan ketinggian
h (dalam meter). Bola tersebut
mengalami perubahan ketinggian
terhadap berubahnya waktu t, setelah
diluncurkan secara vertikal dengan
kecepatan 25 m/s dari tanah. Berapa
perkiraan waktu yang dibutuhkan bola
untuk mencapai tinggi maksimum, jika
ketinggian maksimum bola (3/2)t?
","(A) 3,0 sekon
(B) 4,0 sekon
(C) 4,5 sekon
(D) 5,0 sekon
(E) 7,5 sekon","(A) 3,0 sekon",Fungsi Kuadrat,389,287,mudah
pm27,"b = 2,35 + 0,25x
c = 1,75 + 0,40x
Pada sistem persamaan diatas, b dan c
mewakili harga per kilogram daging sapi
dan daging ayam, dalam dollar ($)
selama x pekan di awal musim panas.
Berapakah harga per kilogram daging
sapi disaat harganya sama dengan harga
per kilogram daging ayam?
","(A) $ 2,60
(B) $ 3,35
(C) $ 2,95
(D) $ 2,85
(E) $ 2,21","(B) $ 3,35",Sistem Persamaan Linear Dua Variabel,118,6,sulit
pm28,"Mark memiliki dua jenis pekerjaan.
Pekerjaan utamanya adalah sebagai
tutor dengan bayaran $12 per jam. Dan
sebagai sampingan ia bekerja sebagai
penjaga pantai dengan bayaran $9.50
per jam. Setiap minggunya ia hanya
mampu bekerja tidak lebih dari 20 jam.
Akan tetapi ia menginginkan
pendapatannya setidaknya $220 per
minggu. Manakah pertidaksamaan
dibawah ini yang menggambarkan
situasi, dalam bentuk x dan y. Dimana x
adalah jam kerjanya sebagai tutor, dan y
adalah jam kerjanya sebagai penjaga
pantai.
","(A) 12x + 9.5y ≤ 220 ; x + y ≥ 20
(B) 12x + 9.5y ≤ 220 ; x + y ≤ 20
(C) 12x + 9.5y ≥ 220 ; x+ y ≤ 20
(D) 12x + 9.5y ≥ 220 ; x + y ≥ 20
(E) Tidak satupun yang benar","(C) 12x + 9.5y ≥ 220 ; x+ y ≤ 20
",Pertidaksamaan Linear,526,489,mudah
pm29,"Abdul sedang mempersiapkan diri
untuk balap sepeda. Dalam rangka
persiapan, ia menargetkan setidaknya
rata – rata bersepeda sejauh 280 mil per
minggu, yang dilakukan selama 1 bulan.
Pada minggu pertama ia bersepeda
sejauh 240 mil, minggu kedua 310 mil,
dan minggu ketiga 320 mil. Manakah
pertidaksamaan dibawah ini, yang bisa
digunakan untuk menggambarkan jarak
tempuh bersepeda Abdul (dalam x)?
","(A) (240+310+320)/3 ≥ 280
(B) 240 + 310 + 320 ≥ x(280)
(C) (240/4) + (310/4) + (320/4) ≥ 280
(D) 240 + 310 + 320 +   ≥ 4(280)
(E) Semua pilihan diatas salah",(D) 240 + 310 + 320 +   ≥ 4(280),Pertidaksamaan Linear,618,358,sedang
pm30,"Sebuah kota pesisir memiliki luas
240 km kuadrat, dimana 3 km kuadratnya adalah air. Jika kota tersebut berpenduduk 11,85 juta orang pada tahun 2010, manakah nilai dibawah ini yang menyatakanjumlah populasi penduduk per km kuadrat daratan, di kota tersebut pada tahun yang sama?
","(A) 45000
(B) 50000
(C) 55000
(D) 60000
(E) 65000",(B) 50000,Perbandingan,753,384,sedang
pm31,"Disebuah kantin, Ani dan kawan - kawan
membayar tidak lebih dari Rp35.000
untuk 4 mangkok bakso dan 7 gelas es
yang dipesannya, sedang Adi dan
kawan-kawan membayar tidak lebih
dari Rp50.000,- untuk 8 mangkok bakso
dan 4 gelas es. Jika kita memesan 5
mangkok bakso dan 3 gelas es, maka
maksimum yang harus kita bayar
adalah....
","(A) Rp27.500,-
(B) Rp30.000,-
(C) Rp32.250,-
(D) Rp35.000,-
(E) Rp37.500,-","(C) Rp32.250,-",Program Linear,448,15,sulit
pm32,"Sekelompok siswa memutuskan
patungan/urunan untuk melakukan
sebuah perjalanan karyawisata. Total
biaya yang harus mereka keluarkan adalah $800 untuk semua orang. Tetapi
tiba – tiba 2 orang memutuskan
membatalkan untuk ikut. Akibatnya
biaya urunan per orang meningkat
sebesar $20. Maka jumlah siswa pada
awalnya adalah....","(A) 7
(B) 8
(C) 9
(D) 10
(E) 11",(D) 10,Persamaan Linear Satu Variable,207,206,mudah
pm33,"Jaka mendepositkan uangnya sebesar x
pada sebuah akun menabung pada 1
Januari 2001. Jumlah seluruh uang Jaka
meningkat 2 kali lipat, hingga akhirnya
uang di tabungannya menjadi $480 pada
1 Januari 2005. Berapakah nilai x?
","(A) 30
(B) 40
(C) 50
(D) 60
(E) 70",(A) 30,Fungsi Eksponensial,982,140,sulit
pm34,"Sebuah komite pendidikan SMA Cinta
Kasih berencana untuk membuat
sekolah baru. Komite tersebut
mengundang beberapa elemen
pendidikan, diantaranya 15% orangtua
murid, 45% guru, 25% pegawai tata
usaha, dan 6 orang siswa. Berapa banyak
guru yang diundang daripada pegawai
tata usaha?
","(A) 6 lebih banyak
(B) 7 lebih banyak
(C) 8 lebih banyak
(D) 9 lebih banyak
(E) 10 lebih banyak",(C) 8 lebih banyak,Analitik,738,331,sedang
pm35,"Kirani merupakan pengusaha di bidang
katering makan siang. Pada waktu
tertentu ia mendapatkan pesanan nasi
kotak paling sedikit 50 porsi. Ia
menyediakan dua jenis paket yaitu paket
vegetarian dan non vegetarian. Untuk
paket vegetarian ia menjual Rp20,000,-
per porsi, dan non vegetarian Rp15,000,-
per porsi. Suatu hari ia mendapatkan
pesanan dari Alternatifa paket makan
siang (vegetarian dan non vegetarian),
dari pesanan itu rata – rata pendapatan
kotornya dari tiap paket paling sedikit
Rp600,000,- . Model matematika yang
tepat untuk mendeskripsikan kasus
pada soal adalah....
","(A) x + y ≤ 50 ; 20x + 15y ≤ 600
(B) x + y ≥ 50 ; 20x + 15y ≥ 600
(C) x + y ≥ 50 ; 20x + 15y ≥ 600(2)
(D) x + y ≤ 50 ; 20x + 15y ≤ 600(2)
(E) x + y > 50 ; 20x + 15y > 600(2)",(C) x + y ≥ 50 ; 20x + 15y ≥ 600(2),Pertidaksamaan linear,45,16,sulit
pm36,"Sebuah ruang pertunjukan memiliki 11
baris kursi penonton. Setiap barisnya
memiliki jumlah kursi yang berbeda.
Baris pertama berisi 12 kursi, baris
kedua 17 kursi, baris ketiga 19 kursi,
baris keempat 24 kursi, baris kelima 26
kursi, dan seterusnya mengikuti pola
yang sama. Jika terdapat suatu
pertunjukkan dengan harga tiket
Rp35,000,00 per orang, dan terjual 3/4
tiket dari kapasitas total. Maka total
pendapatan kotor pengelola teater
adalah....
","(A) Rp1,705,000,00
(B) Rp1,850,000,00
(C) Rp1,905,000,00
(D) Rp1,950,000,00
(E) Rp2,905,000,00","(E) Rp2,905,000,00",barisan dan deret,928,47,sulit
pm37,"Marko adalah seorang yang bekerja di
tempat Laundry. Setiap minggunya dia
menerima beberapa paket baju kotor
yang harus dicuci. Jumlah baju kotor
yang tersisa untuk dicuci di penghujung
hari pada bulan tertentu dapat
diperkirakan dengan persamaan :
p = 180 − 20d
Dimana p adalah banyaknya baju kotor yang tersisa, dan d adalah jumlah hari
dia bekerja pada pekan tertentu. Maksud
dari angka 180 pada persamaan
tersebut adalah?
","(A) Marko bisa menyelesaikan
pencucian selama 180 hari
(B) Marko setiap minggunya
mendapatkan 180 baju kotor untuk
dicuci
(C) Marko mampu mencuci 180 baju
kotor per jam
(D) Marko mampu memperbaiki 180
baju kotor per hari
(E) Tidak memiliki arti apapun, hanya
konstanta biasa.","(B) Marko setiap minggunya
mendapatkan 180 baju kotor untuk
dicuci
",Persamaan Garis,621,217,sulit
pm38,"Sebuah produsen air mineral membuat
tiga varian ukuran kemasan dalam
bentuk botol. Ketiga ukuran tersebut
adalah kecil, sedang, dan besar. Volume
2 botol kecil dan 3 botol sedang adalah
3450 mL. Volume 3 botol kecil dan 4
botol besar adalah 7800 mL. Sedangkan
volume 2 botol sedang dan 3 botol besar
adalah 6000 mL. Jika seorang penderita
gagal ginjal hanya diperbolehkan untuk
mengonsumsi air tidak lebih dari 1,6
liter per hari. Maka varian ukuran dan
jumlah yang bisa diminum adalah....
","(A) 1 kecil dan 1 sedang
(B) 2 kecil dan 1 sedang
(C) 1 besar dan 1 sedang
(D) 1 kecil dan 1 besar
(E) 2 kecil dan 1 sedang",(A) 1 kecil dan 1 sedang,"Sistem Persamaan Linear Tiga
Variabel",171,124,mudah
pm39,"Pada 15 Januari saldo tabungan Udin
tersisa Rp750,000,00. Udin biasa
melakukan tarik tunai sebesar
Rp50,000,00 per hari. Jika dilakukan
terus menerus, Udin akan kehabisan
uang sebelum hari gajian yaitu tanggal 2
Februari. Berapakah uang yang harus
disisihkan Udin agar ia masih bisa
menikmati uang Rp50,000,00 dalam
sehari, tepat sampai tanggal 2 Februari?
","(A) Rp5000,00
(B) Rp10,000,00
(C) Rp15,000,00
(D) Rp20,000,00
(E) Rp30,000,00","(B) Rp10,000,00",Analitik,283,110,sulit
pm40,"Faisal adalah mahasiswa miskin yang
berusaha bertahan hidup di perantauan.
Untuk menyambung hidup ia menjual
roti keju dan roti coklat. Ia dapat
menjual keduanya dengan jumlah tidak
lebih dari 50 roti setiap harinya. Modal
yang harus dikeluarkan untuk membuat
roti keju adalah Rp4000,00 sedangkan
untuk membuat roti coklat adalah
Rp3000,00. Jumlah modal yang dimiliki
Faisal keseluruhan adalah
Rp180,000,00. Jika roti keju dijual
dengan harga Rp5300,00 per pcs dan
roti coklat dijual Rp4200,00 per pcs.
Maka keuntungan maksimum yang
didapat Faisal adalah....
","(A) Rp200,000,00
(B) Rp232,000,00
(C) Rp210,000,00
(D) Rp238,500,00
(E) Rp250,500,00","(D) Rp238,500,00",Program Linear,195,192,mudah
pm41,"Dimas adalah seorang mahasiswa yang
bekerja sambilan saat libur semester. Ia
bekerja sebagai pekerja kasar disebuah
peternakan. Ia dibayar $8 per jam untuk
10 jam pertama ia bekerja di minggu ini.
Karena kerjanya bagus, bos menaikkan
bayarannya menjadi $10 di minggu
tersisa ia bekerja. Dimas menabung 90%
dari gajinya setiap minggunya.
Berapakah jam kerja Dimas yang
seharusnya, jika ia ingin menyisihkan
setidaknya $270 di minggu tersisa ia
bekerja?
","(A) 38
(B) 33
(C) 22
(D) 16
(E) 10",(C) 22,Pertidaksamaan Linear,713,476,sedang
pm42,"Seorang YouTuber yang merekam
aktivitas alam liar membeli sebuah
kamera seharga $32400. Harga kamera
tersebut terdepresiasi secara konstan
selama 12 tahun. Sampai akhirnya
kamera tersebut tidak berharga sama
sekali. Berapa harga kamera setelah 4
tahun sejak dibeli?
","(A) $10800
(B) $16200
(C) $29700
(D) $21600
(E) $30200",(D) $21600,Persamaan Garis,380,197,sedang
pm43,"Dalam sebuah keluarga yang terdiri dari
Ayah, Ibu, dan 5 orang anaknya akan
makan bersama duduk mengelilingi
meja bundar. Jika Ayah dan Ibu
duduknya selalu berdampingan, maka
banyak cara mereka duduk mengelilingi
meja bundar tersebut adalah....
","(A) 120
(B) 240
(C) 720
(D) 1020
(E) 5040",(B) 240,Permutasi dan Kombinasi,681,105,sulit
pm44,"Sebuah perusahaan memberlakukan
kebijakan 6 hari kerja dalam sepekan.
Dengan bayaran per hari kerjanya
adalah Rp125000, −. Jika seorang
karyawan bekerja lembur, maka ia akan
mendapat tambahan sebesar
Rp20000, − untuk satu jam lembur.
Misal seorang karyawan menerima gaji
sebesar Rp3860000, −. Maka jumlah jam
lemburnya selama sebulan adalah....
","(A) 12 jam
(B) 20 jam
(C) 30 jam
(D) 43 jam
(E) 41 jam",(D) 43 jam,Aritmatika Sosial,497,335,sedang
